,file_id,user_id,avg_burst_len_550,mean_p_550,med_p_550,avg_burst_len_1000,mean_p_1000,med_p_1000,avg_burst_len_2000,mean_p_2000,med_p_2000
53,53.0,7.0,2.235632183908046,2284.2068965517237,989.0,4.119047619047619,3903.357142857143,1993.5,7.840909090909091,6439.681818181818,3402.5
54,54.0,7.0,2.175438596491228,1853.157894736842,1054.0,3.758064516129033,2602.3548387096776,1689.0,9.25,4352.5,3423.5
55,55.0,7.0,2.5279503105590058,1930.6770186335407,1001.0,4.475609756097562,3038.5853658536585,1888.0,7.75,5072.583333333333,3052.5
56,56.0,7.0,2.3554216867469884,3404.686746987952,992.5,4.421686746987952,6149.7228915662645,2015.0,8.681818181818182,10615.431818181818,3503.5
57,57.0,7.0,2.4230769230769234,2550.326923076923,1024.5,4.277777777777779,3962.1222222222223,1660.0,10.108108108108107,8125.702702702702,3537.0
58,58.0,7.0,2.380597014925373,2604.3283582089553,1052.0,3.9506172839506166,3962.0,2139.0,6.957446808510637,5988.978723404255,3751.0
59,59.0,7.0,2.0826446280991737,2725.867768595041,1000.0,4.163934426229509,4766.524590163935,1782.0,10.153846153846152,9201.923076923076,4770.5
60,60.0,7.0,1.9285714285714288,2085.0714285714284,1268.0,2.9230769230769234,3281.230769230769,1915.0,5.517241379310344,5649.931034482759,3895.0
61,61.0,7.0,1.8456790123456788,1882.555555555556,1089.5,3.1860465116279064,2843.837209302325,1953.0,6.0638297872340425,4270.6170212765965,3626.0
62,62.0,7.0,2.3229813664596275,1942.2795031055898,911.0,4.577464788732393,3305.8028169014087,1836.0,7.86842105263158,5248.236842105263,3457.5
63,63.0,8.0,4.817589576547232,10850.60586319218,1474.0,5.158974358974358,17758.446153846155,3520.0,6.367647058823528,23179.125,6903.5
64,64.0,8.0,2.375675675675676,6543.9324324324325,1856.5,3.4791666666666665,9987.995833333332,4310.5,4.300546448087432,12895.907103825137,6141.0
65,65.0,8.0,3.945175438596491,721730.6074561403,1708.5,5.906040268456375,1104867.976510067,3499.0,7.695454545454545,1499388.5863636362,5296.5
66,66.0,8.0,7.0132275132275135,15468.357142857143,1647.5,9.606617647058824,22950.161764705877,3120.5,12.259887005649716,35481.779661016946,6742.0
67,67.0,8.0,2.4055555555555554,262459.7611111111,1285.0,3.5,15873.929752066115,3036.5,5.387096774193548,26957.038709677418,6199.0
68,68.0,8.0,3.1621621621621623,9245.403153153153,1715.5,4.734482758620691,13842.072413793103,4251.5,5.995454545454545,18212.618181818183,6726.5
69,69.0,8.0,4.098540145985401,6315.58394160584,1210.0,6.5588235294117645,10139.329411764706,3153.0,9.468253968253967,13863.888888888889,6488.0
70,70.0,8.0,4.424870466321243,35452.507772020734,1850.0,3.9186991869918697,59953.78048780487,5249.0,4.785714285714286,75221.74489795919,6838.5
71,71.0,8.0,2.633187772925764,34013.838427947594,1963.0,3.870748299319728,52791.87074829932,5283.0,4.792792792792793,69220.51351351352,6985.0
72,72.0,8.0,2.0398671096345518,13518.182724252492,2889.0,2.7511520737327193,19268.75115207373,4213.0,3.1828571428571433,22475.857142857138,4933.0
73,73.0,9.0,2.5707762557077625,18576.680365296805,1240.0,3.655172413793104,28802.675862068965,2326.0,5.916666666666668,79534.64285714286,5105.5
74,74.0,9.0,2.736526946107785,262813.70958083833,1187.0,4.095890410958904,400426.1552511416,2108.0,7.2956521739130435,758467.2260869566,5176.0
75,75.0,9.0,3.980676328502416,10823.400966183575,1149.0,6.215384615384616,17155.915384615386,3104.5,10.971428571428573,30856.157142857144,8795.0
76,76.0,9.0,1.7417218543046358,21719.364238410595,1286.0,2.2641509433962264,30799.179245283016,1937.5,4.64,63075.14,3916.5
77,77.0,9.0,2.1714285714285717,29212.128571428573,1752.0,3.2857142857142856,47005.738095238084,2996.5,4.857142857142857,68004.10714285714,4282.0
78,78.0,9.0,2.6258064516129034,12786.580645161292,1278.0,4.0,19566.646464646466,2277.0,6.413793103448277,32523.068965517246,4647.5
79,79.0,9.0,2.227488151658768,5841.241706161138,1311.0,3.072463768115942,8644.144927536232,2279.5,5.351351351351352,14829.932432432432,4437.0
80,80.0,9.0,1.8115942028985508,20459.67391304348,1254.5,2.730337078651685,31176.67415730337,2174.0,4.782608695652174,67954.32608695653,10525.0
81,81.0,9.0,1.9787234042553192,5090.0,1210.0,2.8486842105263164,7675.585526315788,2644.0,4.172043010752688,12159.645161290322,5489.0
82,82.0,9.0,2.6368159203980097,31032.97512437811,1205.0,3.808823529411765,45912.90441176471,2542.0,6.653333333333332,83207.52,4842.0
83,83.0,10.0,2.1935483870967745,25620.290322580644,1129.0,3.3571428571428568,42617.71428571428,2411.0,5.057142857142857,67432.4857142857,5203.0
84,84.0,10.0,3.301652892561984,45533.69008264463,1323.0,5.163265306122449,74639.40136054423,3152.0,7.4631578947368435,114908.8947368421,6005.0
85,85.0,10.0,3.6213592233009715,4068.5210355987056,1079.0,5.893854748603352,7364.597765363129,2051.0,11.436170212765957,14891.521276595744,5701.5
86,86.0,10.0,2.2076923076923083,4245.789743589744,1282.5,3.3617886178861784,6354.682926829269,2035.0,6.376,11355.503999999999,3944.0
87,87.0,10.0,2.6840277777777777,21856.93055555556,1138.5,4.6871165644171775,38165.20245398773,2180.0,7.776595744680852,64387.638297872334,3788.0
88,88.0,10.0,4.3836206896551735,4692.547413793103,1257.5,7.020408163265307,7227.482993197279,1844.0,13.756756756756756,13409.581081081082,4770.5
89,89.0,10.0,3.8779069767441863,15181.808139534884,1186.5,6.16326530612245,25878.984693877548,2869.0,9.25,38893.4765625,6007.0
90,90.0,10.0,4.095,71445.19,1238.0,6.512195121951219,115244.37398373985,2626.0,9.68918918918919,189035.12162162163,4886.5
91,91.0,10.0,2.1807692307692306,368878.8692307692,1528.5,3.05,532521.75,2523.0,4.448275862068964,825601.1551724138,4215.5
92,92.0,11.0,2.8734439834024896,487155.0643153527,1227.0,3.719869706840391,777625.990228013,2914.0,5.480392156862745,1178177.1029411764,6185.5
93,93.0,11.0,3.579778830963665,9242.898894154818,1059.0,5.901856763925728,15027.798408488065,2184.0,7.64390243902439,26288.70243902439,6880.0
94,94.0,11.0,4.415189873417721,6831.9974683544315,1156.5,6.354251012145749,11158.467611336033,3017.5,8.281456953642385,110382.7284768212,6601.5
95,95.0,12.0,7.437158469945356,4670.5027322404385,2243.0,11.465116279069766,6639.418604651163,3377.0,9.656862745098039,7924.362745098039,4303.0
96,96.0,12.0,5.916666666666668,6661.208333333332,1644.0,9.569767441860462,10300.46511627907,3663.0,13.116666666666667,14201.783333333333,6094.0
97,97.0,12.0,3.2180851063829787,5136.803191489362,1645.0,4.612903225806452,7939.895161290324,3326.0,6.227272727272728,11296.306818181818,5794.5
98,98.0,12.0,4.192660550458716,2664.9449541284407,796.0,8.695652173913043,5346.478260869565,1540.0,25.823529411764714,16140.117647058823,3891.0
99,99.0,12.0,5.4017595307917885,7804.724340175953,2072.0,7.1818181818181825,10361.758893280632,4638.0,9.283422459893046,14458.35294117647,7522.0
100,100.0,12.0,5.105820105820106,7124.206349206349,1511.0,7.292682926829267,10382.73170731707,4217.0,6.696629213483146,14039.213483146066,7396.0
101,101.0,12.0,3.719298245614035,11896.263157894737,1324.0,6.1944444444444455,18810.527777777777,3704.5,8.346153846153848,25328.884615384613,4452.0
102,102.0,12.0,5.262820512820513,1655966.7371794872,1791.5,7.383177570093457,2413874.327102804,3183.0,10.851351351351349,3490127.6621621624,7175.0
103,103.0,12.0,2.647058823529412,11966.529411764706,1579.0,4.068181818181818,18133.73863636364,4173.5,5.682539682539683,24711.06349206349,7522.0
104,104.0,12.0,4.918181818181818,10309.854545454546,1834.0,6.95945945945946,14893.418918918918,3817.0,9.641509433962264,24907.490566037734,6213.0
105,105.0,13.0,2.068493150684932,1630.054794520548,938.0,4.194444444444445,2589.8888888888887,1657.5,10.666666666666666,4978.916666666667,3698.5
106,106.0,13.0,2.2510288065843618,39841.08641975308,1234.0,3.25748502994012,56275.353293413165,2106.0,5.688172043010753,16806.397849462366,5402.0
107,107.0,13.0,4.1134969325153365,8481.113496932516,1203.0,5.541463414634147,12392.721951219512,2077.0,9.513761467889909,23386.81651376147,6067.0
108,108.0,13.0,2.3028169014084505,7221.690140845071,1343.5,3.3548387096774195,16084.537634408602,2919.0,5.0,26464.218181818185,8022.0
109,109.0,13.0,2.8125,7528.735576923077,1007.5,5.3125,13449.839285714286,2169.5,9.375,22643.125,4306.0
110,110.0,13.0,4.53170731707317,5214.097560975611,1192.0,7.333333333333332,8487.642276422765,2047.0,12.701492537313433,15022.880597014926,5742.0
111,111.0,13.0,2.632258064516129,18448.52258064516,1098.0,4.743902439024391,34243.414634146335,2837.0,7.6923076923076925,53217.48076923077,5076.0
112,112.0,13.0,2.654471544715447,7293.735772357723,1128.5,4.194244604316546,12185.54676258993,2880.0,6.411111111111111,16037.211111111112,5417.0
113,113.0,13.0,4.045774647887323,1338083.1690140846,1316.0,5.882022471910112,2134663.7528089886,2374.5,10.047619047619047,3617896.409523809,4139.0
114,114.0,13.0,2.045662100456621,17556.178082191782,1221.0,3.148936170212766,26969.29787234043,2523.0,5.012820512820513,48956.756410256414,5897.5
115,115.0,14.0,2.6310160427807485,3058648.748663102,1500.0,3.85,4766283.616666666,3628.5,4.936708860759493,7239750.417721518,6122.0
116,116.0,14.0,3.3717948717948723,246508.65384615387,1727.5,5.434782608695652,417450.4565217392,4604.0,6.777777777777778,532943.4166666665,8351.5
117,117.0,14.0,4.103202846975089,2460.0071174377226,1273.0,6.284883720930233,3501.563953488372,1860.5,14.585714285714285,6167.0428571428565,3983.5
118,118.0,14.0,3.015267175572519,3261.2595419847335,1213.0,4.818181818181818,4808.714285714285,1918.0,9.157894736842103,8368.263157894737,4004.5
119,119.0,14.0,3.8235294117647056,2650.435294117647,986.0,5.567567567567568,4915.783783783784,2391.0,11.578947368421053,7453.052631578947,3307.0
120,120.0,14.0,5.319587628865979,36750.8969072165,1143.0,9.183544303797467,6028.873417721518,2503.5,14.07,105729.03,4324.0
121,121.0,14.0,4.522321428571429,2518531.2589285714,1421.0,6.928057553956834,4058452.841726619,3709.0,9.34,5640619.25,6106.0
122,122.0,14.0,3.05188679245283,6495.542452830188,1199.5,4.992,10654.816,2635.0,7.182926829268293,16312.865853658535,4652.5
123,123.0,14.0,2.62043795620438,6112.649635036497,1160.0,3.8313253012048194,9562.554216867471,2440.0,5.755102040816326,14824.204081632652,4318.0
124,124.0,14.0,3.652173913043478,5423.195652173913,1040.5,5.671232876712327,9712.561643835617,2314.0,9.35897435897436,17716.102564102563,6377.0
125,125.0,15.0,3.224489795918368,284686.34897959186,1023.5,5.5920577617328515,319926.8447653429,2056.0,10.4421768707483,601768.4829931973,4297.0
126,126.0,15.0,2.686111111111111,3642.733333333333,1170.0,2.9913793103448274,5268.004310344828,2233.5,6.401574803149607,8858.8031496063,5135.0
127,127.0,15.0,3.727659574468085,7678.4382978723415,1086.0,6.318518518518518,12794.740740740739,2072.0,12.028169014084508,26162.6338028169,4924.0
128,128.0,15.0,4.371428571428571,3145.491428571428,1105.0,6.990825688073394,4651.091743119266,1759.0,13.86,481582.8,3907.0
129,129.0,15.0,4.43359375,4087.7890625,1059.0,7.344827586206898,6366.213793103449,2422.5,11.981707317073171,10525.579268292682,4538.0
130,130.0,15.0,2.4527938342967244,104648.28323699422,1117.0,4.0267558528428085,181269.91638795988,2447.0,6.167567567567568,292745.4162162162,4902.0
131,131.0,15.0,3.183529411764706,5035.3341176470585,1063.0,4.655601659751038,8358.078838174273,2018.0,7.015503875968992,15126.03100775194,4653.0
132,132.0,15.0,3.7335526315789473,2924.980263157894,1148.5,5.967567567567568,4368.167567567568,2204.0,9.695238095238096,6585.676190476192,3812.0
133,133.0,15.0,3.7894736842105265,3288.992822966507,1125.5,6.375,5019.670833333334,2110.0,11.779527559055119,8395.748031496063,4224.0
134,134.0,15.0,2.0,3325.809090909091,1071.0,3.427807486631016,5264.978609625669,2158.0,6.1923076923076925,8228.10576923077,3677.5
135,135.0,16.0,2.596658711217184,3148.0357995226727,961.0,5.220588235294118,5760.774509803921,2127.5,8.585585585585585,9752.54054054054,5944.0
136,136.0,16.0,3.2975206611570247,5993.181818181818,938.0,6.478632478632479,12345.662393162393,2291.5,7.8,22252.912,7373.0
137,137.0,16.0,5.748490945674044,289257.8430583501,916.0,10.76595744680851,610774.7914893617,2493.0,19.753731343283587,1070609.3208955224,7090.0
138,138.0,16.0,4.843866171003716,6284.423791821561,946.0,9.225563909774436,12219.007518796992,5522.0,12.572916666666664,16381.020833333336,7927.0
139,139.0,16.0,5.3271604938271615,18826.4012345679,909.5,8.5359477124183,40715.73202614379,1853.0,17.492957746478872,86774.42253521128,9839.0
140,140.0,16.0,5.3861386138613865,7004.105610561056,849.0,9.292682926829269,15133.292682926829,2807.0,13.419753086419751,25333.864197530864,5922.0
141,141.0,16.0,2.6823529411764704,11973.05882352941,869.0,5.395348837209302,23213.953488372088,4460.0,7.066666666666666,31390.16666666667,8706.5
142,142.0,16.0,2.4568527918781724,4076.365482233503,852.0,4.831325301204818,8367.493975903615,1867.0,9.0,14534.35,5112.0
143,143.0,16.0,2.238095238095238,1873.571428571429,786.5,5.2,28240.771428571432,2245.0,6.941176470588236,52678.29411764706,4671.0
144,144.0,16.0,4.682274247491638,263447.6053511706,835.0,9.882352941176473,578282.1617647059,2773.0,12.168674698795181,946826.6385542168,9258.0
145,145.0,17.0,1.8226415094339623,53653.31698113208,1027.0,2.757225433526012,85736.77456647398,1796.0,5.678571428571429,175492.14285714287,6510.0
146,146.0,17.0,2.1132075471698117,11060.11320754717,1005.0,3.636363636363636,19554.625,1664.0,7.236842105263157,43406.36842105263,3918.5
147,147.0,17.0,2.1739130434782608,3698.413043478261,999.0,4.0,9445.32,1322.0,10.0,21878.4,4767.5
148,148.0,17.0,2.123456790123457,7616.345679012346,997.0,4.052631578947368,15267.552631578948,1661.5,8.6875,54669.0,6193.0
149,149.0,17.0,2.108695652173913,4744.032608695652,968.0,4.076086956521738,8909.173913043478,1911.5,7.625,16590.895833333332,7333.0
150,150.0,17.0,2.0681818181818183,4353.920454545455,1002.0,3.18,10565.56,1905.0,6.72,30351.24,9222.0
151,151.0,17.0,1.824175824175824,14925.813186813188,1360.0,2.816666666666667,22598.08333333333,4399.5,3.511111111111111,33750.08888888889,8377.0
152,152.0,17.0,1.6388888888888888,47492.805555555555,1372.0,2.185185185185185,71000.88888888889,3651.0,3.1052631578947367,100838.2105263158,8297.0
153,153.0,18.0,1.488095238095238,19285.48015873016,1352.0,2.225609756097561,27248.951219512197,4018.5,3.3592233009708736,43501.22330097087,7645.0
154,154.0,18.0,4.901287553648069,418076.39055793994,1327.0,7.915492957746478,687948.9366197183,4819.0,11.872340425531915,1037126.3191489362,7163.5
155,155.0,18.0,3.3502824858757063,8745.225988700566,1375.0,4.973214285714286,14649.821428571431,3269.5,7.361111111111112,24344.18055555556,10128.0
156,156.0,18.0,2.9175257731958766,17789.860824742267,1209.0,4.392712550607287,36139.465587044535,3491.0,6.6923076923076925,56497.17948717949,7218.0
157,157.0,18.0,1.4821428571428572,7780.446428571428,1458.5,2.135135135135135,21394.932432432437,5270.0,2.7,34458.2,9186.5
158,158.0,18.0,3.659649122807018,7389.635087719298,1248.0,5.350785340314137,10670.225130890052,3558.0,8.478632478632479,16905.299145299145,6576.0
159,159.0,18.0,3.727272727272727,13537.561497326204,1006.0,6.495238095238094,22841.638095238097,2364.0,9.410714285714286,40002.142857142855,10643.0
160,160.0,18.0,2.2763636363636364,13346.483636363635,1482.0,3.406779661016949,20132.84745762712,5039.0,4.4793388429752055,28328.04132231405,10664.0
161,161.0,18.0,2.345833333333333,16685.470833333333,1765.5,3.3312883435582816,24971.01226993865,5705.0,4.325,33612.425,9412.0
162,162.0,19.0,2.3322185061315497,6300.186176142698,1789.0,3.031609195402299,8210.481321839081,2326.0,4.476190476190476,12204.15419501134,3279.0
163,163.0,19.0,2.5763358778625958,6967.910305343511,1638.0,3.4883116883116885,9806.851948051948,4519.0,4.8088235294117645,13681.264705882351,6162.0
164,164.0,19.0,2.297509829619921,468689.53079947573,1334.0,3.3104761904761904,681261.9504761904,3217.0,5.313291139240507,1131044.3101265824,5643.5
165,165.0,19.0,1.5033783783783785,9020.881756756757,1453.5,2.0428571428571427,12382.752380952381,4588.0,3.0431654676258995,16809.726618705037,6963.0
166,166.0,19.0,4.688183807439825,198499.07439824945,1179.0,6.297770700636942,288876.4267515924,2304.5,10.038461538461537,497903.68406593404,6194.0
167,167.0,19.0,5.014967259120674,90024.41721234801,1182.0,7.238826815642457,134405.1033519553,2227.0,12.224226804123713,247631.70876288656,5732.0
168,168.0,19.0,2.9301994301994303,5713.032763532764,1169.5,4.06695464362851,8483.535637149029,2801.0,6.4407407407407415,12826.285185185183,5341.0
169,169.0,19.0,2.763986013986014,10350.178321678322,1124.5,4.143243243243243,15743.245945945944,2413.0,6.6082949308755765,27565.15207373272,5368.0
170,170.0,19.0,3.139056831922612,4943.567110036276,1149.0,4.529516994633274,7221.966010733453,2269.0,7.319875776397517,11935.58695652174,5400.0
